Algorithm,Seed,BestDistance,RuntimeSeconds,FitnessEvaluations,NumberVehicles,BestRoutes
GA,24,1450.2638730019412,4.667254299856722,50000,8,"[[0, 7, 14, 43, 30, 26, 24, 0], [0, 3, 22, 28, 48, 21, 29, 0], [0, 16, 45, 19, 33, 9, 0], [0, 46, 39, 17, 50, 12, 0], [0, 27, 20, 41, 47, 49, 42, 0], [0, 23, 2, 5, 6, 31, 8, 44, 0], [0, 10, 34, 18, 4, 40, 37, 0], [0, 25, 1, 36, 15, 35, 32, 38, 11, 13, 0]]"
GA,25,1310.0070197491734,4.6061233000364155,50000,8,"[[0, 26, 39, 31, 17, 50, 32, 0], [0, 21, 29, 36, 15, 1, 38, 35, 6, 0], [0, 33, 19, 25, 47, 42, 11, 0], [0, 2, 41, 40, 14, 43, 27, 0], [0, 46, 8, 3, 22, 28, 48, 12, 44, 0], [0, 24, 18, 4, 30, 7, 20, 0], [0, 13, 34, 10, 37, 16, 0], [0, 9, 23, 45, 49, 5, 0]]"
GA,26,1367.4880284972353,4.57046620012261,50000,8,"[[0, 9, 37, 20, 41, 23, 0], [0, 5, 42, 19, 25, 12, 13, 0], [0, 27, 16, 7, 30, 40, 0], [0, 39, 4, 18, 43, 14, 0], [0, 21, 38, 15, 35, 32, 6, 1, 36, 0], [0, 29, 11, 47, 33, 49, 2, 45, 0], [0, 48, 17, 22, 28, 31, 3, 44, 0], [0, 10, 34, 26, 8, 50, 46, 24, 0]]"
GA,27,1418.4452349102355,4.54970659990795,50000,8,"[[0, 45, 49, 11, 38, 6, 50, 44, 0], [0, 30, 40, 20, 25, 5, 9, 0], [0, 27, 24, 46, 32, 13, 1, 21, 0], [0, 2, 42, 36, 35, 15, 29, 0], [0, 37, 41, 23, 47, 33, 19, 0], [0, 34, 18, 8, 12, 10, 26, 0], [0, 16, 7, 14, 43, 4, 0], [0, 39, 31, 28, 48, 17, 22, 3, 0]]"
GA,28,1468.213265896845,4.411339099984616,50000,8,"[[0, 5, 42, 21, 44, 26, 0], [0, 16, 33, 45, 9, 13, 0], [0, 30, 20, 23, 25, 49, 1, 29, 0], [0, 18, 34, 14, 43, 4, 40, 0], [0, 6, 32, 35, 22, 48, 17, 3, 24, 0], [0, 2, 47, 19, 11, 38, 36, 15, 0], [0, 27, 41, 7, 37, 10, 0], [0, 50, 46, 28, 8, 39, 31, 12, 0]]"
GA,29,1343.7479980109742,4.521732599940151,50000,8,"[[0, 10, 34, 4, 43, 18, 31, 0], [0, 24, 39, 3, 28, 17, 22, 48, 46, 0], [0, 27, 42, 25, 5, 16, 0], [0, 44, 12, 38, 6, 32, 35, 50, 0], [0, 21, 13, 29, 1, 11, 36, 15, 0], [0, 45, 49, 9, 23, 33, 0], [0, 37, 30, 7, 40, 14, 0], [0, 2, 19, 47, 41, 20, 8, 26, 0]]"
ACO,0,1112.3362473767754,90.4351518000476,50000,8,"[[0, 16, 41, 23, 33, 47, 19, 0], [0, 24, 26, 34, 10, 37, 30, 46, 0], [0, 13, 21, 1, 36, 15, 38, 35, 6, 0], [0, 27, 9, 45, 2, 49, 0], [0, 44, 12, 50, 32, 17, 48, 0], [0, 3, 22, 28, 31, 39, 8, 18, 0], [0, 7, 20, 40, 14, 43, 4, 0], [0, 5, 25, 42, 11, 29, 0]]"
ACO,1,1099.8369481841448,99.62133929994889,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 18, 4, 43, 14, 40, 20, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 44, 12, 50, 32, 6, 35, 15, 38, 0], [0, 24, 46, 31, 39, 8, 26, 34, 10, 0], [0, 13, 5, 25, 42, 11, 29, 21, 0], [0, 3, 22, 28, 48, 17, 36, 1, 0], [0, 37, 30, 7, 0]]"
ACO,2,1098.9131030857332,98.17462519998662,50000,8,"[[0, 27, 9, 45, 2, 49, 0], [0, 21, 29, 11, 42, 5, 25, 13, 0], [0, 46, 3, 22, 28, 48, 17, 32, 6, 35, 0], [0, 44, 12, 50, 38, 15, 1, 36, 0], [0, 20, 7, 40, 14, 43, 4, 0], [0, 24, 26, 34, 10, 37, 30, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 8, 39, 31, 18, 0]]"
ACO,3,1091.7967726621102,98.21717309998348,50000,8,"[[0, 44, 21, 29, 11, 42, 5, 25, 0], [0, 27, 9, 45, 2, 49, 0], [0, 46, 3, 22, 28, 31, 8, 39, 26, 0], [0, 24, 10, 37, 30, 7, 20, 0], [0, 13, 1, 36, 15, 38, 35, 6, 32, 17, 0], [0, 16, 41, 23, 33, 47, 19, 0], [0, 34, 18, 4, 43, 14, 40, 0], [0, 48, 50, 12, 0]]"
