Seed,Evaluation,BestDistance
0,5600,1140.2934280137995
0,5650,1140.2934280137995
0,5700,1140.2934280137995
0,5750,1140.2934280137995
0,5800,1140.2934280137995
0,5850,1140.2934280137995
0,5900,1140.2934280137995
0,5950,1140.2934280137995
0,6000,1140.2934280137995
0,6050,1140.2934280137995
0,6100,1140.2934280137995
0,6150,1140.2934280137995
0,6200,1140.2934280137995
0,6250,1140.2934280137995
0,6300,1140.2934280137995
0,6350,1140.2934280137995
0,6400,1140.2934280137995
0,6450,1140.2934280137995
0,6500,1140.2934280137995
0,6550,1140.2934280137995
0,6600,1140.2934280137995
0,6650,1140.2934280137995
0,6700,1140.2934280137995
0,6750,1138.3220962078026
0,6800,1138.3220962078026
0,6850,1138.3220962078026
0,6900,1138.3220962078026
0,6950,1138.3220962078026
0,7000,1138.3220962078026
0,7050,1138.3220962078026
0,7100,1138.3220962078026
0,7150,1138.3220962078026
0,7200,1138.3220962078026
0,7250,1138.3220962078026
0,7300,1138.3220962078026
0,7350,1138.3220962078026
0,7400,1138.3220962078026
0,7450,1119.331382450906
0,7500,1119.331382450906
0,7550,1119.331382450906
0,7600,1119.331382450906
0,7650,1119.331382450906
0,7700,1119.331382450906
0,7750,1119.331382450906
0,7800,1119.331382450906
0,7850,1119.331382450906
0,7900,1119.331382450906
0,7950,1119.331382450906
0,8000,1119.331382450906
0,8050,1119.331382450906
0,8100,1119.331382450906
0,8150,1119.331382450906
0,8200,1119.331382450906
0,8250,1119.331382450906
0,8300,1119.331382450906
0,8350,1119.331382450906
0,8400,1119.331382450906
0,8450,1119.331382450906
0,8500,1119.331382450906
0,8550,1119.331382450906
0,8600,1119.331382450906
0,8650,1119.331382450906
0,8700,1119.331382450906
0,8750,1119.331382450906
0,8800,1119.331382450906
0,8850,1119.331382450906
0,8900,1119.331382450906
0,8950,1119.331382450906
0,9000,1119.331382450906
0,9050,1119.331382450906
0,9100,1119.331382450906
0,9150,1119.331382450906
0,9200,1119.331382450906
0,9250,1119.331382450906
0,9300,1119.331382450906
0,9350,1119.331382450906
0,9400,1119.331382450906
0,9450,1119.331382450906
0,9500,1119.331382450906
0,9550,1119.331382450906
0,9600,1119.331382450906
0,9650,1119.331382450906
0,9700,1119.331382450906
0,9750,1119.331382450906
0,9800,1119.331382450906
0,9850,1119.331382450906
0,9900,1119.331382450906
0,9950,1119.331382450906
0,10000,1119.331382450906
0,10050,1119.331382450906
0,10100,1119.331382450906
0,10150,1119.331382450906
0,10200,1119.331382450906
0,10250,1119.331382450906
0,10300,1119.331382450906
0,10350,1119.331382450906
0,10400,1119.331382450906
0,10450,1119.331382450906
0,10500,1119.331382450906
0,10550,1119.331382450906
0,10600,1119.331382450906
0,10650,1119.331382450906
0,10700,1119.331382450906
0,10750,1119.331382450906
0,10800,1119.331382450906
0,10850,1119.331382450906
0,10900,1119.331382450906
0,10950,1119.331382450906
0,11000,1119.331382450906
0,11050,1119.331382450906
0,11100,1119.331382450906
0,11150,1119.331382450906
0,11200,1119.331382450906
0,11250,1119.331382450906
0,11300,1119.331382450906
0,11350,1119.331382450906
0,11400,1119.331382450906
0,11450,1119.331382450906
0,11500,1119.331382450906
0,11550,1119.331382450906
0,11600,1119.331382450906
0,11650,1119.331382450906
0,11700,1119.331382450906
0,11750,1119.331382450906
0,11800,1119.331382450906
0,11850,1119.331382450906
0,11900,1119.331382450906
0,11950,1119.331382450906
0,12000,1119.331382450906
0,12050,1119.331382450906
0,12100,1119.331382450906
0,12150,1119.331382450906
0,12200,1119.331382450906
0,12250,1119.331382450906
0,12300,1119.331382450906
0,12350,1119.331382450906
0,12400,1119.331382450906
0,12450,1119.331382450906
0,12500,1119.331382450906
0,12550,1119.331382450906
0,12600,1119.331382450906
0,12650,1119.331382450906
0,12700,1119.331382450906
0,12750,1119.331382450906
0,12800,1119.331382450906
0,12850,1119.331382450906
0,12900,1119.331382450906
0,12950,1119.331382450906
0,13000,1119.331382450906
0,13050,1119.331382450906
0,13100,1112.3362473767754
0,13150,1112.3362473767754
0,13200,1112.3362473767754
0,13250,1112.3362473767754
0,13300,1112.3362473767754
0,13350,1112.3362473767754
0,13400,1112.3362473767754
0,13450,1112.3362473767754
0,13500,1112.3362473767754
0,13550,1112.3362473767754
0,13600,1112.3362473767754
0,13650,1112.3362473767754
0,13700,1112.3362473767754
0,13750,1112.3362473767754
0,13800,1112.3362473767754
0,13850,1112.3362473767754
0,13900,1112.3362473767754
0,13950,1112.3362473767754
0,14000,1112.3362473767754
0,14050,1112.3362473767754
0,14100,1112.3362473767754
0,14150,1112.3362473767754
0,14200,1112.3362473767754
0,14250,1112.3362473767754
0,14300,1112.3362473767754
0,14350,1112.3362473767754
0,14400,1112.3362473767754
0,14450,1112.3362473767754
0,14500,1112.3362473767754
0,14550,1112.3362473767754
0,14600,1112.3362473767754
0,14650,1112.3362473767754
0,14700,1112.3362473767754
0,14750,1112.3362473767754
0,14800,1112.3362473767754
0,14850,1112.3362473767754
0,14900,1112.3362473767754
0,14950,1112.3362473767754
0,15000,1112.3362473767754
0,15050,1112.3362473767754
0,15100,1112.3362473767754
0,15150,1112.3362473767754
0,15200,1112.3362473767754
0,15250,1112.3362473767754
0,15300,1112.3362473767754
0,15350,1112.3362473767754
0,15400,1112.3362473767754
0,15450,1112.3362473767754
0,15500,1112.3362473767754
0,15550,1112.3362473767754
0,15600,1112.3362473767754
0,15650,1112.3362473767754
0,15700,1112.3362473767754
0,15750,1112.3362473767754
0,15800,1112.3362473767754
0,15850,1112.3362473767754
0,15900,1112.3362473767754
0,15950,1112.3362473767754
0,16000,1112.3362473767754
0,16050,1112.3362473767754
0,16100,1112.3362473767754
0,16150,1112.3362473767754
0,16200,1112.3362473767754
0,16250,1112.3362473767754
0,16300,1112.3362473767754
0,16350,1112.3362473767754
0,16400,1112.3362473767754
0,16450,1112.3362473767754
0,16500,1112.3362473767754
0,16550,1112.3362473767754
0,16600,1112.3362473767754
0,16650,1112.3362473767754
0,16700,1112.3362473767754
0,16750,1112.3362473767754
0,16800,1112.3362473767754
0,16850,1112.3362473767754
0,16900,1112.3362473767754
0,16950,1112.3362473767754
0,17000,1112.3362473767754
0,17050,1112.3362473767754
0,17100,1112.3362473767754
0,17150,1112.3362473767754
0,17200,1112.3362473767754
0,17250,1112.3362473767754
0,17300,1112.3362473767754
0,17350,1112.3362473767754
0,17400,1112.3362473767754
0,17450,1112.3362473767754
0,17500,1112.3362473767754
0,17550,1112.3362473767754
0,17600,1112.3362473767754
0,17650,1112.3362473767754
0,17700,1112.3362473767754
0,17750,1112.3362473767754
0,17800,1112.3362473767754
0,17850,1112.3362473767754
0,17900,1112.3362473767754
0,17950,1112.3362473767754
0,18000,1112.3362473767754
0,18050,1112.3362473767754
0,18100,1112.3362473767754
0,18150,1112.3362473767754
0,18200,1112.3362473767754
0,18250,1112.3362473767754
0,18300,1112.3362473767754
0,18350,1112.3362473767754
0,18400,1112.3362473767754
0,18450,1112.3362473767754
0,18500,1112.3362473767754
0,18550,1112.3362473767754
0,18600,1112.3362473767754
0,18650,1112.3362473767754
0,18700,1112.3362473767754
0,18750,1112.3362473767754
0,18800,1112.3362473767754
0,18850,1112.3362473767754
0,18900,1112.3362473767754
0,18950,1112.3362473767754
0,19000,1112.3362473767754
0,19050,1112.3362473767754
0,19100,1112.3362473767754
0,19150,1112.3362473767754
0,19200,1112.3362473767754
0,19250,1112.3362473767754
0,19300,1112.3362473767754
0,19350,1112.3362473767754
0,19400,1112.3362473767754
0,19450,1112.3362473767754
0,19500,1112.3362473767754
0,19550,1112.3362473767754
0,19600,1112.3362473767754
0,19650,1112.3362473767754
0,19700,1112.3362473767754
0,19750,1112.3362473767754
0,19800,1112.3362473767754
0,19850,1112.3362473767754
0,19900,1112.3362473767754
0,19950,1112.3362473767754
0,20000,1112.3362473767754
0,20050,1112.3362473767754
0,20100,1112.3362473767754
0,20150,1112.3362473767754
0,20200,1112.3362473767754
0,20250,1112.3362473767754
0,20300,1112.3362473767754
0,20350,1112.3362473767754
0,20400,1112.3362473767754
0,20450,1112.3362473767754
0,20500,1112.3362473767754
0,20550,1112.3362473767754
0,20600,1112.3362473767754
0,20650,1112.3362473767754
0,20700,1112.3362473767754
0,20750,1112.3362473767754
0,20800,1112.3362473767754
0,20850,1112.3362473767754
0,20900,1112.3362473767754
0,20950,1112.3362473767754
0,21000,1112.3362473767754
0,21050,1112.3362473767754
0,21100,1112.3362473767754
0,21150,1112.3362473767754
0,21200,1112.3362473767754
0,21250,1112.3362473767754
0,21300,1112.3362473767754
0,21350,1112.3362473767754
0,21400,1112.3362473767754
